Año	Municipio código	Municipio nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	44136	Lidón	385,18	1849,0
2001	44137	Linares de Mora	1098,93	6594,0
2001	44138	Loscos	1416,85	4251,0
2001	44141	Lledó	394,61	1776,0
2001	44142	Maicas	114,07	741,0
2001	44143	Manzanera	608,25	2737,0
2001	44144	Martín del Río	1078,68	5178,0
2001	44145	Mas de las Matas	1379,36	5517,0
2001	44146	Mata de los Olmos (La)	257,38	772,0
2001	44147	Mazaleón	1773,79	7095,0
2001	44148	Mezquita de Jarque	718,97	3595,0
2001	44149	Mirambel	871,61	3051,0
2001	44150	Miravete de la Sierra	407,07	2850,0
2001	44151	Molinos	834,99	5010,0
2001	44152	Monforte de Moyuela	987,75	2963,0
2001	44153	Monreal del Campo	2616,99	14917,0
2001	44154	Monroyo	875,67	7005,0
2001	44155	Montalbán	652,74	5222,0
2001	44156	Monteagudo del Castillo	673,33	2020,0
2001	44157	Monterde de Albarracín	191,98	576,0
2001	44158	Mora de Rubielos	1054,01	6851,0
2001	44159	Moscardón	171,63	687,0
2001	44160	Mosqueruela	1082,08	6492,0
2001	44161	Muniesa	2483,15	19865,0
2001	44163	Noguera de Albarracín	254,71	764,0
2001	44164	Nogueras	183,95	1104,0
2001	44165	Nogueruelas	846,38	2539,0
2001	44167	Obón	1167,03	9336,0
2001	44168	Odón	1315,74	10526,0
2001	44169	Ojos Negros	1089,03	6534,0
2001	44171	Olba	77,5	465,0
2001	44172	Oliete	1319,8	8579,0
2001	44173	Olmos (Los)	652,15	3913,0
2001	44174	Orihuela del Tremedal	217,39	1413,0
2001	44175	Orrios	569,66	3076,0
2001	44176	Palomar de Arroyos	458,92	2295,0
2001	44177	Pancrudo	1686,27	7588,0
2001	44178	Parras de Castellote (Las)	266,99	1201,0
2001	44179	Peñarroya de Tastavins	441,39	1766,0
2001	44180	Peracense	231,01	1502,0
2001	44181	Peralejos	342,91	2057,0
2001	44182	Perales del Alfambra	1767,2	8836,0
2001	44183	Pitarque	282,3	847,0
2001	44184	Plou	193,39	1257,0
2001	44185	Pobo (El)	810,68	5269,0
2001	44187	Portellada (La)	256,9	771,0
2001	44189	Pozondón	461,17	1384,0
2001	44190	Pozuel del Campo	553,6	1661,0
2001	44191	Puebla de Híjar (La)	2659,67	20213,0
2001	44192	Puebla de Valverde (La)	2982,84	20880,0
2001	44193	Puertomingalvo	280,43	1683,0
