Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2007	33	Matarraña / Matarranya	7247,0	313,0	31,0	21,0	1193,0	31,0	26,0	8,0	16,0	42,0	6,0	2922,0	1226,0	9,0	10169,0
2008	01	La Jacetania	22900,0	12176,0	947,0	434,0	3650,0	31,0	36,0	78,0	31,0	119,0	2,0	19590,0	2070,0	16,0	42490,0
2008	02	Alto Gállego	15140,0	7308,0	463,0	196,0	2024,0	20,0	33,0	48,0	15,0	71,0	6,0	12120,0	1922,0	14,0	27260,0
2008	03	Sobrarbe	5517,0	652,0	144,0	96,0	1989,0	20,0	24,0	21,0	36,0	122,0	1,0	4282,0	1172,0	5,0	9799,0
2008	04	La Ribagorza	11428,0	2196,0	260,0	108,0	3550,0	34,0	34,0	21,0	37,0	235,0	3,0	8913,0	2423,0	12,0	20341,0
2008	05	Cinco Villas	19123,0	3287,0	534,0	38,0	4125,0	65,0	58,0	84,0	40,0	98,0	21,0	11125,0	2758,0	17,0	30248,0
2008	06	Hoya de Huesca / Plana de Uesca	35726,0	16074,0	2594,0	91,0	7150,0	76,0	250,0	437,0	56,0	185,0	9,0	30563,0	3597,0	44,0	66289,0
2008	07	Somontano de Barbastro	13297,0	3286,0	702,0	116,0	2378,0	35,0	58,0	85,0	44,0	94,0	5,0	8848,0	2024,0	21,0	22145,0
2008	08	Cinca Medio	11459,0	2641,0	545,0	15,0	2497,0	31,0	25,0	67,0	15,0	24,0	5,0	7407,0	1524,0	18,0	18866,0
2008	09	La Litera / La Llitera	10035,0	1398,0	301,0	18,0	4120,0	20,0	56,0	55,0	12,0	42,0	0,0	7658,0	1625,0	11,0	17693,0
2008	10	Los Monegros	11627,0	390,0	134,0	31,0	5065,0	47,0	62,0	26,0	34,0	88,0	11,0	8190,0	2277,0	25,0	19817,0
2008	11	Bajo Cinca / Baix Cinca	11697,0	1568,0	342,0	123,0	3062,0	34,0	39,0	88,0	15,0	31,0	5,0	6584,0	1256,0	21,0	18281,0
2008	12	Tarazona y el Moncayo	10539,0	978,0	175,0	21,0	3093,0	26,0	22,0	23,0	4,0	41,0	4,0	5693,0	1294,0	12,0	16232,0
2008	13	Campo de Borja	9295,0	377,0	129,0	25,0	2446,0	20,0	31,0	25,0	10,0	37,0	7,0	4504,0	1387,0	10,0	13799,0
2008	14	Aranda	5771,0	706,0	138,0	6,0	2302,0	15,0	12,0	23,0	11,0	29,0	1,0	4530,0	1281,0	6,0	10301,0
