Año	Municipio código	Municipio nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	44041	Bezas	102,0											53,0			155,0
2003	44042	Blancas	221,0											171,0			392,0
2003	44043	Blesa	275,0											79,0			354,0
2003	44044	Bordón	135,0											111,0			246,0
2003	44045	Bronchales	739,0											278,0			1017,0
2003	44046	Bueña	80,0											116,0			196,0
2003	44047	Burbáguena	447,0											98,0			545,0
2003	44048	Cabra de Mora	148,0											47,0			195,0
2003	44049	Calaceite	796,0											343,0			1139,0
2003	44050	Calamocha	2775,0											2310,0			5085,0
2003	44051	Calanda	2178,0											826,0			3004,0
2003	44052	Calomarde	161,0											20,0			181,0
2003	44053	Camañas	92,0											103,0			195,0
2003	44054	Camarena de la Sierra	254,0											296,0			550,0
2003	44055	Camarillas	162,0											95,0			257,0
2003	44056	Caminreal	689,0											145,0			834,0
2003	44059	Cantavieja	418,0											337,0			755,0
2003	44060	Cañada de Benatanduz	100,0											146,0			246,0
2003	44061	Cañada de Verich (La)	85,0											67,0			152,0
2003	44062	Cañada Vellida	40,0											37,0			77,0
2003	44063	Cañizar del Olivar	132,0											142,0			274,0
2003	44064	Cascante del Río	168,0											65,0			233,0
2003	44065	Castejón de Tornos	181,0											37,0			218,0
2003	44066	Castel de Cabra	150,0											182,0			332,0
2003	44067	Castelnou	200,0											67,0			267,0
2003	44068	Castelserás	529,0											394,0			923,0
2003	44070	Castellar (El)	128,0											48,0			176,0
2003	44071	Castellote	779,0											669,0			1448,0
2003	44074	Cedrillas	379,0											165,0			544,0
2003	44075	Celadas	203,0											92,0			295,0
2003	44076	Cella	1371,0											984,0			2355,0
2003	44077	Cerollera (La)	78,0											94,0			172,0
2003	44080	Codoñera (La)	412,0											83,0			495,0
2003	44082	Corbalán	124,0											40,0			164,0
2003	44084	Cortes de Aragón	141,0											103,0			244,0
2003	44085	Cosa	139,0											26,0			165,0
2003	44086	Cretas	530,0											129,0			659,0
2003	44087	Crivillén	201,0											96,0			297,0
2003	44088	Cuba (La)	64,0											97,0			161,0
2003	44089	Cubla	99,0											51,0			150,0
2003	44090	Cucalón	143,0											98,0			241,0
2003	44092	Cuervo (El)	155,0											113,0			268,0
2003	44093	Cuevas de Almudén	60,0											55,0			115,0
2003	44094	Cuevas Labradas	130,0											40,0			170,0
2003	44096	Ejulve	221,0											256,0			477,0
2003	44097	Escorihuela	178,0											94,0			272,0
2003	44099	Escucha	707,0											241,0			948,0
2003	44100	Estercuel	360,0											242,0			602,0
2003	44101	Ferreruela de Huerva	82,0											77,0			159,0
2003	44102	Fonfría	43,0											41,0			84,0
2003	44103	Formiche Alto	288,0											92,0			380,0
2003	44105	Fórnoles	284,0											65,0			349,0
2003	44106	Fortanete	278,0											214,0			492,0
2003	44107	Foz-Calanda	296,0											97,0			393,0
2003	44108	Fresneda (La)	603,0											129,0			732,0
2003	44109	Frías de Albarracín	248,0											36,0			284,0
2003	44110	Fuenferrada	67,0											71,0			138,0
2003	44111	Fuentes Calientes	103,0											51,0			154,0
2003	44112	Fuentes Claras	476,0											75,0			551,0
2003	44113	Fuentes de Rubielos	232,0											59,0			291,0
2003	44114	Fuentespalda	306,0											56,0			362,0
2003	44115	Galve	84,0											69,0			153,0
2003	44116	Gargallo	147,0											92,0			239,0
2003	44117	Gea de Albarracín	374,0											367,0			741,0
2003	44118	Ginebrosa (La)	241,0											263,0			504,0
2003	44119	Griegos	179,0											41,0			220,0
2003	44120	Guadalaviar	222,0											173,0			395,0
2003	44121	Gúdar	120,0											37,0			157,0
2003	44122	Híjar	1308,0											336,0			1644,0
2003	44123	Hinojosa de Jarque	109,0											86,0			195,0
2003	44124	Hoz de la Vieja (La)	244,0											133,0			377,0
2003	44125	Huesa del Común	241,0											206,0			447,0
2003	44126	Iglesuela del Cid (La)	350,0											293,0			643,0
2003	44127	Jabaloyas	196,0											126,0			322,0
2003	44128	Jarque de la Val	72,0											62,0			134,0
2003	44129	Jatiel	101,0											21,0			122,0
2003	44130	Jorcas	81,0											44,0			125,0
2003	44131	Josa	133,0											88,0			221,0
2003	44132	Lagueruela	100,0											64,0			164,0
2003	44133	Lanzuela	45,0											44,0			89,0
2003	44135	Libros	166,0											136,0			302,0
2003	44136	Lidón	72,0											89,0			161,0
2003	44137	Linares de Mora	348,0											53,0			401,0
2003	44138	Loscos	267,0											317,0			584,0
2003	44141	Lledó	162,0											64,0			226,0
2003	44142	Maicas	79,0											54,0			133,0
2003	44143	Manzanera	825,0											689,0			1514,0
2003	44144	Martín del Río	319,0											249,0			568,0
2003	44145	Mas de las Matas	1068,0											418,0			1486,0
2003	44146	Mata de los Olmos (La)	140,0											131,0			271,0
2003	44147	Mazaleón	539,0											145,0			684,0
2003	44148	Mezquita de Jarque	72,0											70,0			142,0
2003	44149	Mirambel	139,0											133,0			272,0
2003	44150	Miravete de la Sierra	77,0											51,0			128,0
2003	44151	Molinos	281,0											221,0			502,0
2003	44152	Monforte de Moyuela	118,0											131,0			249,0
2003	44153	Monreal del Campo	1457,0											644,0			2101,0
2003	44154	Monroyo	208,0											133,0			341,0
2003	44155	Montalbán	1031,0											1015,0			2046,0
2003	44156	Monteagudo del Castillo	139,0											41,0			180,0
2003	44157	Monterde de Albarracín	212,0											73,0			285,0
2003	44158	Mora de Rubielos	1095,0											1135,0			2230,0
2003	44159	Moscardón	137,0											40,0			177,0
2003	44160	Mosqueruela	571,0											99,0			670,0
2003	44161	Muniesa	736,0											196,0			932,0
2003	44163	Noguera de Albarracín	232,0											44,0			276,0
2003	44164	Nogueras	94,0											95,0			189,0
2003	44165	Nogueruelas	313,0											72,0			385,0
2003	44167	Obón	275,0											67,0			342,0
