Año	Provincia código	Provincia nombre	Tipo licencias código	Tipo licencias descripción	Licencias
2012	50	Zaragoza	XD	Servicio público mixto-Mercancías y viajeros	0
2011	22	Huesca	OT	Operaciones de transporte	35
2011	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	293
2011	22	Huesca	VS-N	Ambulancias nacionales servicio público	31
2011	22	Huesca	VT-N	Licencias taxi	238
2011	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	247
2011	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2639
2011	22	Huesca	MPC-N	Transporte mercancías propias nacional	918
2011	22	Huesca	VPC-N	Transporte privado de viajeros nacional	10
2011	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	5
2011	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	144
2011	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	622
2011	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	526
2011	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	11
2011	22	Huesca	VD	Transporte público viajeros en autobús	9
2011	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2011	22	Huesca	XD	Servicio público mixto-Mercancías y viajeros	0
2011	44	Teruel	OT	Operaciones de transporte	23
2011	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	85
2011	44	Teruel	VS-N	Ambulancias nacionales servicio público	21
2011	44	Teruel	VT-N	Licencias taxi	82
2011	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	167
2011	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1594
2011	44	Teruel	MPC-N	Transporte mercancías propias nacional	726
2011	44	Teruel	VPC-N	Transporte privado de viajeros nacional	3
2011	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	41
2011	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	92
2011	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	380
2011	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	394
2011	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	1
2011	44	Teruel	VD	Transporte público viajeros en autobús	0
2011	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2011	44	Teruel	XD	Servicio público mixto-Mercancías y viajeros	3
2011	50	Zaragoza	OT	Operaciones de transporte	207
2011	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	602
2011	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	262
2011	50	Zaragoza	VT-N	Licencias taxi	1949
2011	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1787
2011	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	7369
2011	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	2011
2011	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	24
2011	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	142
2011	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1030
2011	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1407
2011	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1121
2011	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	19
2011	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2011	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2011	50	Zaragoza	XD	Servicio público mixto-Mercancías y viajeros	0
2010	22	Huesca	OT	Operaciones de transporte	32
