Mes y año	Mes (código)	Mes nombre	Comarca código	Comarca nombre	Sección (1 letra) código	Sección (1 letra) descripción	Clasificación	Sexo	Número de contratos
Agosto 2021	202108	Agosto	04	La Ribagorza	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Hombres	21
Agosto 2021	202108	Agosto	04	La Ribagorza	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Mujeres	12
Agosto 2021	202108	Agosto	04	La Ribagorza	H	Transporte y almacenamiento	CNAE - 2009	Hombres	11
Agosto 2021	202108	Agosto	04	La Ribagorza	I	Hostelería	CNAE - 2009	Hombres	46
Agosto 2021	202108	Agosto	04	La Ribagorza	I	Hostelería	CNAE - 2009	Mujeres	63
Agosto 2021	202108	Agosto	04	La Ribagorza	K	Actividades financieras y de seguros	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	04	La Ribagorza	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	04	La Ribagorza	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	04	La Ribagorza	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Hombres	4
Agosto 2021	202108	Agosto	04	La Ribagorza	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Mujeres	23
Agosto 2021	202108	Agosto	04	La Ribagorza	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Hombres	5
Agosto 2021	202108	Agosto	04	La Ribagorza	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Mujeres	8
Agosto 2021	202108	Agosto	04	La Ribagorza	P	Educación	CNAE - 2009	Hombres	9
Agosto 2021	202108	Agosto	04	La Ribagorza	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Mujeres	7
Agosto 2021	202108	Agosto	04	La Ribagorza	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Hombres	18
Agosto 2021	202108	Agosto	04	La Ribagorza	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Mujeres	6
Agosto 2021	202108	Agosto	04	La Ribagorza	S	Otros servicios	CNAE - 2009	Hombres	7
Agosto 2021	202108	Agosto	04	La Ribagorza	S	Otros servicios	CNAE - 2009	Mujeres	5
Agosto 2021	202108	Agosto	04	La Ribagorza	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	05	Cinco Villas	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Hombres	94
Agosto 2021	202108	Agosto	05	Cinco Villas	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Mujeres	24
Agosto 2021	202108	Agosto	05	Cinco Villas	C	Industria manufacturera	CNAE - 2009	Hombres	111
Agosto 2021	202108	Agosto	05	Cinco Villas	C	Industria manufacturera	CNAE - 2009	Mujeres	62
Agosto 2021	202108	Agosto	05	Cinco Villas	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	CNAE - 2009	Hombres	1
Agosto 2021	202108	Agosto	05	Cinco Villas	E	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación	CNAE - 2009	Mujeres	1
Agosto 2021	202108	Agosto	05	Cinco Villas	F	Construcción	CNAE - 2009	Hombres	40
Agosto 2021	202108	Agosto	05	Cinco Villas	F	Construcción	CNAE - 2009	Mujeres	5
Agosto 2021	202108	Agosto	05	Cinco Villas	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Hombres	21
Agosto 2021	202108	Agosto	05	Cinco Villas	G	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas	CNAE - 2009	Mujeres	17
Agosto 2021	202108	Agosto	05	Cinco Villas	H	Transporte y almacenamiento	CNAE - 2009	Hombres	18
Agosto 2021	202108	Agosto	05	Cinco Villas	I	Hostelería	CNAE - 2009	Hombres	43
Agosto 2021	202108	Agosto	05	Cinco Villas	I	Hostelería	CNAE - 2009	Mujeres	72
Agosto 2021	202108	Agosto	05	Cinco Villas	K	Actividades financieras y de seguros	CNAE - 2009	Hombres	3
Agosto 2021	202108	Agosto	05	Cinco Villas	K	Actividades financieras y de seguros	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	05	Cinco Villas	M	Actividades profesionales, científicas y técnicas	CNAE - 2009	Mujeres	5
Agosto 2021	202108	Agosto	05	Cinco Villas	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Hombres	9
Agosto 2021	202108	Agosto	05	Cinco Villas	N	Actividades administrativas y servicios auxiliares	CNAE - 2009	Mujeres	12
Agosto 2021	202108	Agosto	05	Cinco Villas	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Hombres	9
Agosto 2021	202108	Agosto	05	Cinco Villas	O	Administración Pública y defensa; Seguridad Social obligatoria	CNAE - 2009	Mujeres	7
Agosto 2021	202108	Agosto	05	Cinco Villas	P	Educación	CNAE - 2009	Hombres	7
Agosto 2021	202108	Agosto	05	Cinco Villas	P	Educación	CNAE - 2009	Mujeres	12
Agosto 2021	202108	Agosto	05	Cinco Villas	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Hombres	4
Agosto 2021	202108	Agosto	05	Cinco Villas	Q	Actividades sanitarias y de servicios sociales	CNAE - 2009	Mujeres	58
Agosto 2021	202108	Agosto	05	Cinco Villas	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Hombres	26
Agosto 2021	202108	Agosto	05	Cinco Villas	R	Actividades artísticas, recreativas y de entretenimiento	CNAE - 2009	Mujeres	6
Agosto 2021	202108	Agosto	05	Cinco Villas	S	Otros servicios	CNAE - 2009	Hombres	2
Agosto 2021	202108	Agosto	05	Cinco Villas	S	Otros servicios	CNAE - 2009	Mujeres	2
Agosto 2021	202108	Agosto	05	Cinco Villas	T	Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio	CNAE - 2009	Mujeres	4
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Hombres	103
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	A	Agricultura, ganadería, silvicultura y pesca	CNAE - 2009	Mujeres	30
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	C	Industria manufacturera	CNAE - 2009	Hombres	57
Agosto 2021	202108	Agosto	06	Hoya de Huesca / Plana de Uesca	C	Industria manufacturera	CNAE - 2009	Mujeres	20
