Año	Nº Accidentes	Grupo	Descripción ocupación	Sexo	Código	Municipio
2010,0	26	4	Empleados de tipo administrativo	Mujeres	22125	Huesca
2010,0	3	4	Empleados de tipo administrativo	Mujeres	22130	Jaca
2010,0	6	4	Empleados de tipo administrativo	Mujeres	22158	Monzón
2010,0	2	4	Empleados de tipo administrativo	Mujeres	22199	Sabiñánigo
2010,0	2	4	Empleados de tipo administrativo	Mujeres	44013	Alcañiz
2010,0	16	4	Empleados de tipo administrativo	Mujeres	44216	Teruel
2010,0	1	4	Empleados de tipo administrativo	Mujeres	50025	Almunia de Doña Godina (La)
2010,0	2	4	Empleados de tipo administrativo	Mujeres	50067	Calatayud
2010,0	1	4	Empleados de tipo administrativo	Mujeres	50074	Caspe
2010,0	1	4	Empleados de tipo administrativo	Mujeres	50089	Cuarte de Huerva
2010,0	3	4	Empleados de tipo administrativo	Mujeres	50095	Ejea de los Caballeros
2010,0	1	4	Empleados de tipo administrativo	Mujeres	50182	Muela (La)
2010,0	3	4	Empleados de tipo administrativo	Mujeres	50219	Puebla de Alfindén (La)
2010,0	1	4	Empleados de tipo administrativo	Mujeres	50251	Tarazona
2010,0	5	4	Empleados de tipo administrativo	Mujeres	50272	Utebo
2010,0	169	4	Empleados de tipo administrativo	Mujeres	50297	Zaragoza
2010,0	10	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	22048	Barbastro
2010,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	22112	Fraga
2010,0	32	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	22125	Huesca
2010,0	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	22130	Jaca
2010,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	22158	Monzón
2010,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	22199	Sabiñánigo
2010,0	6	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	44013	Alcañiz
2010,0	19	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	44216	Teruel
2010,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50008	Alagón
2010,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50025	Almunia de Doña Godina (La)
2010,0	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50067	Calatayud
2010,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50074	Caspe
2010,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50089	Cuarte de Huerva
2010,0	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50095	Ejea de los Caballeros
2010,0	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50219	Puebla de Alfindén (La)
2010,0	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50251	Tarazona
2010,0	1	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50252	Tauste
2010,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50272	Utebo
2010,0	342	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50297	Zaragoza
2010,0	14	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	50298	Zuera
2010,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	22048	Barbastro
2010,0	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	22061	Binéfar
2010,0	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	22112	Fraga
2010,0	86	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	22125	Huesca
2010,0	22	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	22130	Jaca
2010,0	14	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	22158	Monzón
2010,0	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	22199	Sabiñánigo
2010,0	16	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	44013	Alcañiz
