Provincia código	Provincia nombre	Año	Orden	Siglas	Votos
44	Teruel	2007	4	CHA	4749,0
44	Teruel	2007	5	IU	6094,0
44	Teruel	2007	8	PCUA	373,0
44	Teruel	2007	29	L'ENTESA	69,0
44	Teruel	2007	30	IPN	64,0
44	Teruel	2007	36	FIA	41,0
44	Teruel	2007	37	CDIG	31,0
44	Teruel	2007	38	FAMILIA Y V	30,0
44	Teruel	2011	1	PP	28136,0
44	Teruel	2011	2	PSOE	24315,0
44	Teruel	2011	3	PAR	16051,0
44	Teruel	2011	4	CHA	3898,0
44	Teruel	2011	5	IU	5239,0
44	Teruel	2011	6	UPyD	354,0
44	Teruel	2011	7	COMPROMISO CON ARAGON	2629,0
44	Teruel	2011	8	FIA	170,0
44	Teruel	2011	9	ECOLO	26,0
44	Teruel	2011	26	ESQUERRA-AM	66,0
44	Teruel	2011	38	DN	11,0
44	Teruel	2011	39	LVE	3,0
44	Teruel	2015	4	C's	2360,0
44	Teruel	2015	5	PAR	14778,0
44	Teruel	2015	6	PSOE	21396,0
44	Teruel	2015	7	CHA	3538,0
44	Teruel	2015	8	PP	22302,0
44	Teruel	2015	10	EB	133,0
44	Teruel	2015	12	COMPROMISO CON ARAGON	1969,0
44	Teruel	2015	16	G:IU-LV	2491,0
44	Teruel	2015	20	G:IU-LV	1335,0
44	Teruel	2015	26	CHA	472,0
44	Teruel	2015	27	G:IU-LV	1183,0
44	Teruel	2015	28	FIA	68,0
44	Teruel	2015	39	G:IU-LV	527,0
44	Teruel	2015	45	G:IU-LV	396,0
44	Teruel	2015	49	Asamblea Abierta	303,0
44	Teruel	2015	51	G:IU-LV	277,0
44	Teruel	2015	53	G:IU-LV	272,0
44	Teruel	2015	57	G:IU-LV	204,0
44	Teruel	2015	58	G.B.A.	200,0
44	Teruel	2015	64	C.S.I.E	148,0
44	Teruel	2015	74	G:IU-LV	90,0
44	Teruel	2015	75	G:IU-LV	90,0
44	Teruel	2015	79	UxA	60,0
44	Teruel	2015	90	YA	19,0
44	Teruel	2015	93	PNP	14,0
50	Zaragoza	2007	1	PSOE	179992,0
50	Zaragoza	2007	2	PP	144435,0
50	Zaragoza	2007	3	PAR	57093,0
50	Zaragoza	2007	4	CHA	43622,0
50	Zaragoza	2007	5	IU	19844,0
50	Zaragoza	2007	6	LV-FIA	2364,0
50	Zaragoza	2007	7	CPC	1640,0
50	Zaragoza	2007	8	PCUA	1192,0
50	Zaragoza	2007	9	CDL	1030,0
50	Zaragoza	2007	11	PACMA	916,0
50	Zaragoza	2007	12	CIPV	888,0
50	Zaragoza	2007	14	CC-IU	563,0
50	Zaragoza	2007	15	PUM+J	521,0
50	Zaragoza	2007	16	PFYV	455,0
50	Zaragoza	2007	17	PH	241,0
50	Zaragoza	2007	21	GIC	154,0
50	Zaragoza	2007	22	IA	128,0
50	Zaragoza	2007	23	CAVA	108,0
50	Zaragoza	2007	24	PSD	104,0
50	Zaragoza	2007	31	UCL	55,0
