Mes y año	Mes (código)	Mes nombre	Año	Comarca código	Comarca nombre	Sexo	Número de contratos	Número trabajadores (CC)
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	7	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	2	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Hombres	7	99 No consta
Septiembre 2021	202109	Septiembre	2021	08	Cinca Medio	Mujeres	4	99 No consta
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	178	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	93	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	73	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	31	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	56	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	49	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	59	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	61	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	1	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	2	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	54	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	27	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	99	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	43	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Hombres	10	99 No consta
Septiembre 2021	202109	Septiembre	2021	09	La Litera / La Llitera	Mujeres	8	99 No consta
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	86	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	69	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	17	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	5	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	62	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	26	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	5	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	18	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	108	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	19	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	2	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	1	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	2	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Hombres	9	99 No consta
Septiembre 2021	202109	Septiembre	2021	10	Los Monegros	Mujeres	2	99 No consta
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	260	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	114	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	89	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	42	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	116	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	80	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	69	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	67	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	121	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	226	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	11	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	17	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	75	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	158	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Hombres	9	99 No consta
Septiembre 2021	202109	Septiembre	2021	11	Bajo Cinca / Baix Cinca	Mujeres	3	99 No consta
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	131	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	112	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	90	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	20	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	28	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	23	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	22	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	18	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	62	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	40	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	32	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	43	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	11	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	9	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	4	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	7	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Hombres	3	99 No consta
Septiembre 2021	202109	Septiembre	2021	12	Tarazona y el Moncayo	Mujeres	6	99 No consta
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	134	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	70	01 De 1 a 9 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	25	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	6	02 De 10 a 19 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	20	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	26	03 De 20 a 49 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	19	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	31	04 De 50 a 99 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	27	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	33	05 De 100 a 199 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	10	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	13	06 De 200 a 499 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	17	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	26	07 De 500 a 999 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	2	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	1	08 De 1.000 a 4.999 trabajadores
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Hombres	1	99 No consta
Septiembre 2021	202109	Septiembre	2021	13	Campo de Borja	Mujeres	4	99 No consta
Septiembre 2021	202109	Septiembre	2021	14	Aranda	Hombres	6	01 De 1 a 9 trabajadores
