Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Sexo	% de población de 0 a 19 años	% de población de 20 a 64 años	% de población de 65 y más años	% de población menor de 15	% de población menor de 25	% de población menor de 35	% de población menor de 45	Edad media de la población	Índice de envejecimiento	Índice de juventud	Índice de vejez	Índice de ancianidad	Índice de sobreenvejecimiento	Tasa global de dependencia	Tasa global de dependencia ancianos	Tasa global de dependencia jóvenes	Índice estructura de población activa total	Índice reemplazamiento edad activa total	Tasa de masculinidad	Índice de maternidad	Índice de potencialidad	Personas
1998	22	22028	Ansó	Mujeres	15,8490566037736	50,9433962264151	33,2075471698113	9,05660377358491	24,1509433962264	36,2264150943396	47,9245283018868	47,7415094339623	209,52380952381	27,2727272727273	366,666666666667	34,0909090909091	17,0454545454545	73,202614379085	57,516339869281	15,6862745098039	130,30303030303	141,666666666667	0,0	6,25	135,0	265
1998	22	22029	Antillón	Mujeres	15,6626506024096	54,2168674698795	30,1204819277108	8,43373493975904	22,8915662650602	28,9156626506024	48,1927710843373	47,921686746988	192,307692307692	28,0	357,142857142857	36,0	16,0	62,7450980392157	49,0196078431373	13,7254901960784	75,8620689655172	150,0	0,0	8,10810810810811	55,0	83
1998	22	22032	Aragüés del Puerto	Mujeres	10,7142857142857	60,7142857142857	28,5714285714286	7,14285714285714	17,8571428571429	25,0	33,9285714285714	50,6071428571429	266,666666666667	25,0	400,0	43,75	0,0	55,5555555555556	44,4444444444444	11,1111111111111	52,1739130434783	33,3333333333333	0,0	0,0	114,285714285714	56
1998	22	22035	Arén	Mujeres	13,9896373056995	51,2953367875648	34,7150259067358	12,4352331606218	19,6891191709844	30,0518134715026	43,5233160621762	49,8575129533679	248,148148148148	35,8208955223881	279,166666666667	29,8507462686567	13,4328358208955	89,2156862745098	65,6862745098039	23,5294117647059	77,1929824561404	11,7647058823529	0,0	10,9375	103,333333333333	193
1998	22	22036	Argavieso	Mujeres	14,8148148148148	44,4444444444444	40,7407407407407	7,40740740740741	16,6666666666667	27,7777777777778	37,037037037037	51,3333333333333	275,0	18,1818181818182	550,0	45,4545454545454	0,0	92,8571428571429	78,5714285714286	14,2857142857143	92,8571428571429	100,0	0,0	4,76190476190476	70,0	54
1998	22	22037	Arguis	Mujeres	3,7037037037037	62,962962962963	33,3333333333333	3,7037037037037	7,40740740740741	29,6296296296296	37,037037037037	53,9074074074074	900,0	11,1111111111111	900,0	22,2222222222222	33,3333333333333	58,8235294117647	52,9411764705882	5,88235294117647	88,8888888888889	0,0	0,0	0,0	175,0	27
1998	22	22039	Ayerbe	Mujeres	11,6666666666667	48,5185185185185	39,8148148148148	7,59259259259259	17,2222222222222	26,8518518518519	37,037037037037	52,9351851851852	341,269841269841	19,0697674418605	524,390243902439	42,3255813953488	13,4883720930233	90,1408450704225	75,7042253521127	14,4366197183099	91,2162162162162	51,2195121951219	0,0	6,55737704918033	103,79746835443	540
1998	22	22040	Azanuy-Alins	Mujeres	10,377358490566	44,3396226415094	45,2830188679245	4,71698113207547	14,1509433962264	25,4716981132075	29,2452830188679	56,2735849056604	436,363636363636	10,4166666666667	960,0	43,75	16,6666666666667	100,0	90,5660377358491	9,43396226415094	70,0	40,0	0,0	6,25	160,0	106
1998	22	22041	Azara	Mujeres	15,929203539823	55,7522123893805	28,3185840707965	11,5044247787611	23,8938053097345	35,3982300884956	50,4424778761062	45,7566371681416	177,777777777778	40,625	246,153846153846	37,5	0,0	66,1764705882353	47,0588235294118	19,1176470588235	109,375	44,4444444444444	0,0	10,8695652173913	115,789473684211	113
1998	22	22042	Azlor	Mujeres	13,2530120481928	51,8072289156627	34,9397590361446	4,81927710843373	20,4819277108434	33,7349397590361	38,5542168674699	51,9578313253012	263,636363636364	13,7931034482759	725,0	34,4827586206896	27,5862068965517	66,0	58,0	8,0	104,166666666667	60,0	0,0	3,03030303030303	188,888888888889	83
1998	22	22043	Baells	Mujeres	11,7647058823529	50,0	38,235294117647	2,94117647058824	20,5882352941176	32,3529411764706	42,6470588235294	51,9558823529412	325,0	7,69230769230769	1300,0	46,1538461538461	19,2307692307692	70,0	65,0	5,0	110,526315789474	200,0	0,0	0,0	127,272727272727	68
1998	22	22044	Bailo	Mujeres	13,4328358208955	55,9701492537313	30,5970149253731	9,70149253731343	17,910447761194	33,5820895522388	47,7611940298507	48,2537313432836	227,777777777778	31,7073170731707	315,384615384615	24,390243902439	21,9512195121951	67,5	51,25	16,25	142,424242424242	50,0	0,0	3,63636363636364	117,391304347826	134
1998	22	22045	Baldellou	Mujeres	6,84931506849315	45,2054794520548	47,945205479452	5,47945205479452	12,3287671232877	21,9178082191781	30,1369863013699	57,8835616438356	700,0	11,4285714285714	875,0	31,4285714285714	25,7142857142857	114,705882352941	102,941176470588	11,7647058823529	106,25	0,0	0,0	5,55555555555556	183,333333333333	73
1998	22	22046	Ballobar	Mujeres	19,0388170055453	49,9075785582255	31,0536044362292	13,1238447319778	24,3992606284658	33,641404805915	47,5046210720887	47,4205175600739	163,106796116505	42,2619047619048	236,619718309859	41,0714285714286	16,0714285714286	79,1390728476821	55,6291390728477	23,5099337748344	100,680272108844	55,5555555555556	0,0	7,981220657277	77,4509803921569	541
