Año	Mes (código)	Mes nombre	Mes y año	Sexo	Comarca código	Comarca nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Indefinido	Discapacitados	Minusválidos	1
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Obra o servicio	Obra o servicio	333
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Obra o servicio	Obra o servicio	296
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	579
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Eventual por circunstancias de la producción	Eventual producción	666
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Interinidad	Interinidad	46
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Interinidad	Interinidad	125
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Discapacitados	Temp. Minusv	2
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la jubilación	Jubilación parcial	4
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la jubilación	Relevo	1
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la jubilación	Jubilación parcial	1
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la jubilación	Relevo	3
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la formación	Formación	20
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la formación	Prácticas	4
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la formación	Formación	45
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Ligados a la formación	Prácticas	3
2021	202110	Octubre	Octubre 2021	Hombres	06	Hoya de Huesca / Plana de Uesca	Temporal	Otros	Temp. Inserción	1
2021	202110	Octubre	Octubre 2021	Mujeres	06	Hoya de Huesca / Plana de Uesca	Temporal	Otros	Temp. Inserción	2
2021	202110	Octubre	Octubre 2021	Hombres	07	Somontano de Barbastro	Indefinido	Indefinido	Indef. Fomento	15
2021	202110	Octubre	Octubre 2021	Hombres	07	Somontano de Barbastro	Indefinido	Indefinido	Indef. Ordinario	26
2021	202110	Octubre	Octubre 2021	Mujeres	07	Somontano de Barbastro	Indefinido	Indefinido	Indef. Fomento	27
2021	202110	Octubre	Octubre 2021	Mujeres	07	Somontano de Barbastro	Indefinido	Indefinido	Indef. Ordinario	18
2021	202110	Octubre	Octubre 2021	Hombres	07	Somontano de Barbastro	Temporal	Obra o servicio	Obra o servicio	80
2021	202110	Octubre	Octubre 2021	Mujeres	07	Somontano de Barbastro	Temporal	Obra o servicio	Obra o servicio	69
2021	202110	Octubre	Octubre 2021	Hombres	07	Somontano de Barbastro	Temporal	Eventual por circunstancias de la producción	Eventual producción	207
2021	202110	Octubre	Octubre 2021	Mujeres	07	Somontano de Barbastro	Temporal	Eventual por circunstancias de la producción	Eventual producción	179
2021	202110	Octubre	Octubre 2021	Hombres	07	Somontano de Barbastro	Temporal	Interinidad	Interinidad	12
2021	202110	Octubre	Octubre 2021	Mujeres	07	Somontano de Barbastro	Temporal	Interinidad	Interinidad	13
2021	202110	Octubre	Octubre 2021	Hombres	07	Somontano de Barbastro	Temporal	Discapacitados	Temp. Minusv	1
2021	202110	Octubre	Octubre 2021	Hombres	07	Somontano de Barbastro	Temporal	Ligados a la formación	Formación	1
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Indefinido	Indefinido	Indef. Fomento	30
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Indefinido	Indefinido	Indef. Ordinario	26
2021	202110	Octubre	Octubre 2021	Mujeres	08	Cinca Medio	Indefinido	Indefinido	Indef. Fomento	17
2021	202110	Octubre	Octubre 2021	Mujeres	08	Cinca Medio	Indefinido	Indefinido	Indef. Ordinario	13
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Indefinido	Discapacitados	Minusválidos	1
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Temporal	Obra o servicio	Obra o servicio	280
2021	202110	Octubre	Octubre 2021	Mujeres	08	Cinca Medio	Temporal	Obra o servicio	Obra o servicio	162
2021	202110	Octubre	Octubre 2021	Hombres	08	Cinca Medio	Temporal	Eventual por circunstancias de la producción	Eventual producción	118
2021	202110	Octubre	Octubre 2021	Mujeres	08	Cinca Medio	Temporal	Eventual por circunstancias de la producción	Eventual producción	154
