Comarca código	Comarca nombre	Año	Siglas	Votos	Candidatura
06	Hoya de Huesca / Plana de Uesca	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
06	Hoya de Huesca / Plana de Uesca	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
06	Hoya de Huesca / Plana de Uesca	2019	UDT	0,0	UNIÓN DE TODOS
07	Somontano de Barbastro	2019	PSOE	4105,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
07	Somontano de Barbastro	2019	PP	3844,0	PARTIDO POPULAR
07	Somontano de Barbastro	2019	VOX	2021,0	VOX
07	Somontano de Barbastro	2019	PODEMOS-IU	1283,0	UNIDAS PODEMOS
07	Somontano de Barbastro	2019	Cs	1145,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
07	Somontano de Barbastro	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
07	Somontano de Barbastro	2019	M PAÍS-CHA-EQUO	0,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
07	Somontano de Barbastro	2019	PACMA	91,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
07	Somontano de Barbastro	2019	EB	41,0	ESCAÑOS EN BLANCO
07	Somontano de Barbastro	2019	CHA	217,0	CHUNTA ARAGONESISTA
07	Somontano de Barbastro	2019	MAS	0,0	MOVIMIENTO ARAGONES SOCIAL
07	Somontano de Barbastro	2019	RECORTES CERO-GV	26,0	RECORTES CERO-GRUPO VERDE
07	Somontano de Barbastro	2019	PUM+J	17,0	POR UN MUNDO MÁS JUSTO
07	Somontano de Barbastro	2019	PCPE	17,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
07	Somontano de Barbastro	2019	FIA	32,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
07	Somontano de Barbastro	2019	PCTE	9,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
07	Somontano de Barbastro	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
07	Somontano de Barbastro	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
07	Somontano de Barbastro	2019	UDT	0,0	UNIÓN DE TODOS
08	Cinca Medio	2019	PSOE	3979,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
08	Cinca Medio	2019	PP	3122,0	PARTIDO POPULAR
08	Cinca Medio	2019	VOX	1762,0	VOX
08	Cinca Medio	2019	PODEMOS-IU	1315,0	UNIDAS PODEMOS
08	Cinca Medio	2019	Cs	979,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
08	Cinca Medio	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
08	Cinca Medio	2019	M PAÍS-CHA-EQUO	0,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
08	Cinca Medio	2019	PACMA	83,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
08	Cinca Medio	2019	EB	43,0	ESCAÑOS EN BLANCO
08	Cinca Medio	2019	CHA	160,0	CHUNTA ARAGONESISTA
08	Cinca Medio	2019	MAS	0,0	MOVIMIENTO ARAGONES SOCIAL
08	Cinca Medio	2019	RECORTES CERO-GV	17,0	RECORTES CERO-GRUPO VERDE
08	Cinca Medio	2019	PUM+J	10,0	POR UN MUNDO MÁS JUSTO
08	Cinca Medio	2019	PCPE	11,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
08	Cinca Medio	2019	FIA	7,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
08	Cinca Medio	2019	PCTE	10,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
08	Cinca Medio	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
08	Cinca Medio	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
08	Cinca Medio	2019	UDT	0,0	UNIÓN DE TODOS
09	La Litera / La Llitera	2019	PSOE	2969,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
09	La Litera / La Llitera	2019	PP	2433,0	PARTIDO POPULAR
09	La Litera / La Llitera	2019	VOX	1307,0	VOX
09	La Litera / La Llitera	2019	PODEMOS-IU	1209,0	UNIDAS PODEMOS
09	La Litera / La Llitera	2019	Cs	676,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
09	La Litera / La Llitera	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
09	La Litera / La Llitera	2019	M PAÍS-CHA-EQUO	0,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
09	La Litera / La Llitera	2019	PACMA	59,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
09	La Litera / La Llitera	2019	EB	22,0	ESCAÑOS EN BLANCO
09	La Litera / La Llitera	2019	CHA	122,0	CHUNTA ARAGONESISTA
09	La Litera / La Llitera	2019	MAS	0,0	MOVIMIENTO ARAGONES SOCIAL
09	La Litera / La Llitera	2019	RECORTES CERO-GV	11,0	RECORTES CERO-GRUPO VERDE
09	La Litera / La Llitera	2019	PUM+J	11,0	POR UN MUNDO MÁS JUSTO
09	La Litera / La Llitera	2019	PCPE	12,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
09	La Litera / La Llitera	2019	FIA	8,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
09	La Litera / La Llitera	2019	PCTE	6,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
09	La Litera / La Llitera	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
09	La Litera / La Llitera	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
09	La Litera / La Llitera	2019	UDT	0,0	UNIÓN DE TODOS
10	Los Monegros	2019	PSOE	3867,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
10	Los Monegros	2019	PP	2966,0	PARTIDO POPULAR
10	Los Monegros	2019	VOX	1683,0	VOX
10	Los Monegros	2019	PODEMOS-IU	713,0	UNIDAS PODEMOS
10	Los Monegros	2019	Cs	837,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
10	Los Monegros	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
