Año	Kg recogidos envases	Comarca código	Comarca nombre	Contenedores de envases
2010	112222	27	Andorra-Sierra de Arcos	170
2010	382960	28	Bajo Aragón	273
2010	365764	29	Comunidad de Teruel	222
2010	23667	30	Maestrazgo	30
2010	31103	31	Sierra de Albarracín	36
2010	53642	32	Gúdar-Javalambre	100
2010	96578	33	Matarraña / Matarranya	84
2011	290189	01	La Jacetania	206
2011	325889	02	Alto Gállego	351
2011	80304	03	Sobrarbe	231
2011	158465	04	La Ribagorza	276
2011	348181	05	Cinco Villas	363
2011	1492183	06	Hoya de Huesca / Plana de Uesca	620
2011	376118	07	Somontano de Barbastro	318
2011	348322	08	Cinca Medio	285
2011	282171	09	La Litera / La Llitera	143
2011	250779	10	Los Monegros	373
2011	355020	11	Bajo Cinca / Baix Cinca	213
2011	202931	12	Tarazona y el Moncayo	151
2011	250580	13	Campo de Borja	223
2011	64520	14	Aranda	90
2011	318901	15	Ribera Alta del Ebro	301
2011	256062	16	Valdejalón	278
2011	9429281	17	Central	2688
2011	94840	18	Ribera Baja del Ebro	125
2011	162719	19	Bajo Aragón-Caspe / Baix Aragó-Casp	140
2011	474281	20	Comunidad de Calatayud	412
2011	88941	21	Campo de Cariñena	112
2011	0	22	Campo de Belchite	0
2011	69306	23	Bajo Martín	118
2011	49459	24	Campo de Daroca	81
2011	86019	25	Jiloca	200
2011	72611	26	Cuencas Mineras	61
2011	128600	27	Andorra-Sierra de Arcos	170
2011	422054	28	Bajo Aragón	283
2011	374927	29	Comunidad de Teruel	225
2011	29397	30	Maestrazgo	30
2011	39364	31	Sierra de Albarracín	36
2011	66981	32	Gúdar-Javalambre	101
2011	74499	33	Matarraña / Matarranya	84
2012	293970	01	La Jacetania	206
2012	325847	02	Alto Gállego	338
2012	83443	03	Sobrarbe	234
2012	212440	04	La Ribagorza	316
2012	336160	05	Cinco Villas	363
2012	1505750	06	Hoya de Huesca / Plana de Uesca	620
2012	364903	07	Somontano de Barbastro	318
2012	351818	08	Cinca Medio	285
2012	315540	09	La Litera / La Llitera	143
2012	257739	10	Los Monegros	375
2012	346719	11	Bajo Cinca / Baix Cinca	213
2012	188359	12	Tarazona y el Moncayo	151
2012	262619	13	Campo de Borja	223
2012	65500	14	Aranda	90
2012	334779	15	Ribera Alta del Ebro	307
2012	258759	16	Valdejalón	283
2012	9491979	17	Central	2668
2012	91460	18	Ribera Baja del Ebro	125
2012	173000	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2012	457917	20	Comunidad de Calatayud	441
2012	109201	21	Campo de Cariñena	112
2012	0	22	Campo de Belchite	0
2012	75421	23	Bajo Martín	118
2012	62759	24	Campo de Daroca	81
2012	68420	25	Jiloca	164
2012	67850	26	Cuencas Mineras	61
2012	124839	27	Andorra-Sierra de Arcos	170
2012	358418	28	Bajo Aragón	283
2012	351501	29	Comunidad de Teruel	227
2012	27537	30	Maestrazgo	30
2012	37372	31	Sierra de Albarracín	38
2012	61901	32	Gúdar-Javalambre	104
2012	100399	33	Matarraña / Matarranya	84
2013	280213	01	La Jacetania	208
2013	306149	02	Alto Gállego	340
2013	84250	03	Sobrarbe	239
2013	187771	04	La Ribagorza	354
2013	329052	05	Cinco Villas	363
2013	1425793	06	Hoya de Huesca / Plana de Uesca	629
2013	353814	07	Somontano de Barbastro	322
2013	373073	08	Cinca Medio	285
